"link","name","mk_name","category","description","rating","review_count","phone","website","picture"
"41.9506991|21.2996209","Canyon Matka","Клисура Матка","Nature preserve","""Picturesque gorge with medieval monasteries"," also offering boating"," hiking & cave exploration.""","4.7","""7","258 reviews""","+389 70 271 900","none"
"42.000961|21.4371546","Old Bazaar","Стара чаршија","Market","""Vibrant old bazaar built in Ottoman architectural style"," with mosques"," markets"," shops and cafes.""","4.5","""14","853 reviews""","none","none"
"42.2630342|21.9537199","Kokino megalithic observatory","Кокино мегалитска опсерваторија","Observatory","Mountainous site with the archaeological ruins of a Bronze Age observatory.","4.7","426 reviews","none","kokino.mk"
"41.9969881|21.433031","Stone Bridge","Камен мост","Bridge","""Built in the 15th century"," this stone"," arched bridge is a prominent symbol of the country's capital.""","4.6","""3","666 reviews""","none","none"
"40.9139033|20.7407263","Monastery of St. Naum","Манастир Свети Наум","Monastery","""Eastern Orthodox monastery founded in 905"," open to the public with lake views & live peacocks.""","4.8","""6","606 reviews""","none","none"
"41.99382|21.4308717","Memorial House of Mother Teresa","Спомен-куќа на Мајка Тереза","History museum","""Museum dedicated to a renowned Catholic nun"," with an eclectic design & a striking"," modern chapel.""","4.4","""2","007 reviews""","+389 2 329 0674","memorialhouseofmotherteresa.com"
"41.0014546|21.2129616","National Park „Pelister“","Национален парк „Пелистер“","National park","""Covering 66 sq .mi."," this popular forest of rare pines offers trails"," wildlife"," ski areas & views.""","4.8","""1","112 reviews""","+389 47 233 464","park-pelister.com"
"41.9651384|21.3943505","Millennium Cross","Милениумски крст","Tourist attraction","""Memorial cross on top of a mountain accessible by cable car"," with picturesque views of city below.""","4.6","""3","378 reviews""","+389 70 806 626","zicnica.jsp.com.mk"
"40.9943675|20.7980954","The Bay of Bones","Заливот на коските","Museum","Reconstructed village of stilt houses displaying Bronze & Iron Age items recovered from Lake Ohrid.","4.5","""2","739 reviews""","+389 46 231 300","muzejohrid.mk"
"41.6995671|20.6652778","Mavrovo National Park","Национален парк „Маврово“","National park","""Large national park founded in 1949"," featuring trails through mountains & canyons & along a river.""","4.7","""2","691 reviews""","+389 42 489 425","npmavrovo.org.mk"
"41.996783|21.4343423","Archaeological Museum of the Republic of Macedonia","Археолошки музеј на Република Македонија","Museum","""Grand museum offering archeological relics from ancient Macedonian times"," including coins & statues.""","4.1","768 reviews","+389 2 323 3999","amm.org.mk"
"41.3695082|22.8068927","Koleshino Waterfall","Колешински Водопад","Tourist attraction","none","4.8","463 reviews","+389 34 351 796","none"
"41.1111028|20.7887528","Church of Saint John the Theologian","Црква „Свети Јован Богослов“","Orthodox church","""Historic"," landmark Orthodox church overlooking Lake Ohrid"," with picnic & seating areas.""","4.9","""2","702 reviews""","+389 46 230 455","none"
"41.9962084|21.4318933","Macedonia Square","Плоштад „Македонија“","Tourist attraction","none","4.4","""1","339 reviews""","none","skopje.mk"
"42.0006598|21.4326293","Skopje Fortress","Скопска тврдина Кале","Fortress","""Remains of a 6th-century hilltop stone fortress"," offering panoramic views of the city & river.""","4.2","""1","470 reviews""","+389 2 312 9323","none"
"41.4041534|21.5379749","Holy Mother of God (Treskavec Monastery)","Успение на Пресвета Богородица","Monastery","""Hilltop church dating from the 12th century"," with elaborate ceiling frescoes & valley views.""","4.8","312 reviews","none","none"
"41.1127678|20.7908025","„Plaoshnik“","„Плаошник“","Archaeological site","This archeological site features a restored 9th-century church plus ruins from earlier structures.","4.7","672 reviews","none","none"
"41.3662782|22.8996196","Smolare Waterfall","Смоларски Водопад","Tourist attraction","none","4.8","552 reviews","none","none"
"42.0057199|20.9667833","Xhamia e Larme","Шарена џамија/Xhamia e Larme","Mosque","Ottoman-era mosque rebuilt in the 1800s known for its frescoed facade & vivid painted interior.","4.8","""1","726 reviews""","none","none"
"41.377481|21.2484142","Makedonium - Ilinden Monument","Споменик Илинден / Меморијален центар Македониум","Monument","none","4.7","527 reviews","none","none"
